batch_id,paper_id,title,relevance_score,reason,tags
batch_00349,wN3KaUXA5X,Diffusion On Syntax Trees For Program Synthesis,4,Neurosymbolic diffusion model for program synthesis; reasons over syntax trees and execution results for debugging.,PROGRAM_REASONING;FORMAL_METHODS;OTHER
batch_00330,tcsZt9ZNKD,Scaling and evaluating sparse autoencoders,4,Evaluates cybersecurity capabilities of LM agents on vulnerability identification and exploit execution tasks.,AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00295,o1Et3MogPw,Internet of Agents: Weaving a Web of Heterogeneous Agents for Collaborative Intelligence,4,"LLM-based multi-agent framework for collaboration; validates on tasks requiring reasoning, relevant for agent workflows for code.",AGENTS;TOOL_USE;OTHER
batch_00290,n2NidsYDop,Transformers Provably Solve Parity Efficiently with Chain of Thought,4,Theoretical analysis of CoT for parity; shows self-consistency checking improves multi-step reasoning.,RELIABILITY;OTHER
batch_00257,hUb2At2DsQ,Rethinking and Improving Autoformalization: Towards a Faithful Metric and a Dependency Retrieval-based Approach,4,"Directly addresses LLMs + formal verification for autoformalization, a core theme of formal methods+LLMs.",FORMAL_METHODS;VERIFICATION
batch_00202,XmProj9cPs,Spider 2.0: Evaluating Language Models on Real-World Enterprise Text-to-SQL Workflows,4,"Evaluates LLM agents on complex real-world SQL workflows, directly testing code agent capabilities for enterprise programming tasks.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00200,XLMAMmowdY,ToolGen: Unified Tool Retrieval and Calling via Generation,4,"ToolGen integrates tool calling directly into LLM generation, a strong signal for LLM agents in programming tasks.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00190,VQwI055flA,CARTS: Advancing Neural Theorem Proving with Diversified Tactic Calibration and Bias-Resistant Tree Search,4,LLM + tree search for neural theorem proving; directly connects formal reasoning (theorem proving) with LLM-based agents.,AGENTS;FORMAL_METHODS;PROGRAM_REASONING
batch_00178,Tb8RiXOc3N,Epistemic Monte Carlo Tree Search,4,Epistemic MCTS for code generation in SUBLEQ; uses uncertainty-guided search for program synthesis.,AGENTS;RELIABILITY;PROGRAM_REASONING
batch_00170,SOWZ59UyNc,Lean-STaR: Learning to Interleave Thinking and Proving,4,"LLM reasoning for theorem proving with structured informal thoughts, directly relates to formal methods + LLMs.",FORMAL_METHODS;PROGRAM_REASONING
batch_00156,PY56Wur7S0,Execution-guided within-prompt search for programming-by-example,4,"LLM-guided search using program execution results to synthesize code, combining syntactic and semantic reasoning.",PROGRAM_REASONING;RELIABILITY
batch_00144,NiNIthntx7,RefactorBench: Evaluating Stateful Reasoning in Language Agents Through Code,4,"Benchmark for stateful LM agents on complex, multi-file code refactoring tasks; directly evaluates reasoning for code.",AGENTS;PROGRAM_REASONING
batch_00127,KmmNb7631I,Learning to Plan Before Answering: Self-Teaching LLMs to Learn Abstract Plans for Problem Solving,4,"LLM self-training for abstract plans, aligns with structured intermediate reasoning for code.",OTHER
batch_00096,FiyS0ecSm0,Proving Olympiad Inequalities by Synergizing LLMs and Symbolic Reasoning,4,"Neuro-symbolic integration of LLMs with symbolic methods for theorem proving on inequalities, aligning with hybrid reasoning.",FORMAL_METHODS;OTHER
batch_00094,FDimWzmcWn,AgentRefine: Enhancing Agent Generalization through Refinement Tuning,4,"LLM agent framework with self-refinement for error correction, directly applicable to code debugging and program repair.",AGENTS;PROGRAM_REASONING;RELIABILITY
batch_00078,Ccwp4tFEtE,Generative Verifiers: Reward Modeling as Next-Token Prediction,4,"Proposes generative verifiers for LLM reasoning, aligns with reliability methods like verifier-guided decoding for code correctness.",RELIABILITY;VERIFICATION
batch_00064,A6Y7AqlzLW,Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,4,"Process reward models (PRMs) for LLM reasoning, aligns with verifier-guided decoding and reliability for code correctness.",RELIABILITY;CONSENSUS
batch_00039,6H4jRWKFc3,MotherNet: Fast Training and Inference via Hyper-Network Transformers,4,"Proposes hypernetwork for in-context learning on tabular data, relevant to structured reasoning and reliability of LLM workflows.",OTHER
batch_00035,5X5Z7Ffrjb,Steering Large Language Models between Code Execution and Textual Reasoning,4,"Explicitly studies steering LLMs between code execution and textual reasoning for complex tasks, aligning with our focus on code-based agents and reliability.",AGENTS;TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00026,4FWAwZtd2n,Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning,4,"Scales test-time compute for reasoning, uses verifier reward models to improve LLM code output correctness.",RELIABILITY;CONSENSUS
batch_00025,48WAZhwHHw,Planning in Natural Language Improves LLM Search for Code Generation,4,"Proposes PlanSearch, a method using natural language planning for diverse code generation, directly improving LLM reliability for programming.",RELIABILITY;PROGRAM_REASONING
batch_00023,3ogIALgghF,Automatic Curriculum Expert Iteration for Reliable LLM Reasoning,4,"Addresses LLM reasoning reliability, hallucination reduction, and aligning assertiveness with capabilities for code-adjacent tasks.",RELIABILITY;CONSENSUS;ABSTENTION
batch_00002,0K1OaL6XuK,Planning Anything with Rigor: General-Purpose Zero-Shot Planning with LLM-based Formalized Programming,4,"LLM-based formalized programming for general-purpose planning, solving optimization problems as code, tool-use for complex constraints.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00001,09FiNmvNMw,Divide and Translate: Compositional First-Order Logic Translation and Verification for Complex Logical Reasoning,4,"Neurosymbolic method using LLMs for logic translation, verified by SAT solver for reliable reasoning.",FORMAL_METHODS;NEUROSYMBOLIC;RELIABILITY
batch_00368,zSfeN1uAcx,To Code or Not To Code? Exploring Impact of Code in Pre-training,3,"Systematically analyzes impact of code data in pre-training on downstream reasoning, linking code quality to NL reasoning gains.",OTHER
batch_00367,zGej22CBnS,Exact Byte-Level Probabilities from Tokenized Language Models for FIM-Tasks and Model Ensembles,3,"Improves tokenizer reliability for code (FIM tasks), relevant to LLM sampling semantics for programming.",RELIABILITY;OTHER
batch_00366,z5uVAKwmjf,AFlow: Automating Agentic Workflow Generation,3,"Automates LLM agent workflow generation for code, using search and execution feedback.",AGENTS;TOOL_USE
batch_00360,y9A2TpaGsE,Language Agents Meet Causality -- Bridging LLMs and Causal World Models,3,"Integrates causal world models with LLMs for planning/reasoning, aligning with structured reasoning themes.",OTHER
batch_00359,xoXn62FzD0,Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo,3,"Uses SMC for controlled Python code generation, aligning with structured reasoning for code correctness.",PROGRAM_REASONING;OTHER
batch_00357,xgtXkyqw1f,MindSearch: Mimicking Human Minds Elicits Deep AI Searcher,3,"LLM-based multi-agent system for complex information seeking, parallels multi-step reasoning for code tasks.",AGENTS;OTHER
batch_00355,xJljiPE6dg,Language Models Learn to Mislead Humans via RLHF,3,"Studies RLHF's effect on code task (APPS) correctness & human evaluation, relevant to LLM reliability for programming.",RELIABILITY;OTHER
batch_00353,wtrDLMFU9v,Learning Evolving Tools for Large Language Models,3,"Tool learning framework (ToolEVO) for LLMs in dynamic environments, using MCTS for self-reflection and code tool updates.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00352,wm5wwAdiEt,Learning to Communicate Through Implicit Communication Channels,3,Multi-agent implicit communication for collaborative tasks; relevant to agent coordination for programming workflows.,AGENTS;OTHER
batch_00350,wNobG8bV5Q,LLM-based Typed Hyperresolution for Commonsense Reasoning with Knowledge Bases,3,"LLM integrated with logical reasoner, theory resolution for error repair/verification, connects to formal methods.",FORMAL_METHODS;VERIFICATION;RELIABILITY
batch_00347,w6rHCuN3YG,In-Context Editing: Learning Knowledge from Self-Induced Distributions,3,"Studies knowledge editing for LLMs, relevant to reliability and updating code-related knowledge without retraining.",RELIABILITY;OTHER
batch_00346,vunPXOFmoi,Benchmarking Agentic Workflow Generation,3,"Benchmarks LLM agent workflow generation for complex planning, evaluating graph-structured reasoning.",AGENTS;WORKFLOW_STATS
batch_00341,v9CDpLpjiE,Visual-O1: Understanding Ambiguous Instructions via Multi-modal Multi-turn Chain-of-thoughts Reasoning,3,"Addresses ambiguity in instructions via reasoning, relevant to our theme of ambiguity detection/repair in programming specs.",AMBIGUITY;OTHER
batch_00337,uUsL07BsMA,Learning Splitting Heuristics in Divide-and-Conquer SAT Solvers with Reinforcement Learning,3,Uses RL+GNN for SAT solver heuristics; symbolic reasoning core is adjacent to formal methods/verification.,FORMAL_METHODS;OTHER
batch_00332,tpD1rs25Uu,Hydra-SGG: Hybrid Relation Assignment for One-stage Scene Graph Generation,3,"Explores LLM planning improvement via action sequence analysis, relevant to structured reasoning for agents.",AGENTS;PROGRAM_REASONING;OTHER
batch_00331,tn2mjzjSyR,DOTS: Learning to Reason Dynamically in LLMs via Optimal Reasoning Trajectories Search,3,"LLM reasoning with dynamic trajectory planning for code-like tasks, relates to structured reasoning workflows",AGENTS;RELIABILITY;OTHER
batch_00328,tPNHOoZFl9,Learning Dynamics of LLM Finetuning,3,"Analyzes LLM finetuning dynamics, explains hallucination causes; relevant to reliability/hallucination reduction for code.",RELIABILITY;OTHER
batch_00327,t9U3LW7JVX,Automated Design of Agentic Systems,3,"Automates design of code-based LLM agents, validated on coding tasks; aligns with agentic reasoning for programming.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00326,t6QHYUOQL7,Breaking Mental Set to Improve Reasoning through Diverse Multi-Agent Debate,3,"Multi-agent debate for LLM reasoning improvement, aligns with reliability/consensus mechanisms for correctness.",RELIABILITY;CONSENSUS
batch_00325,st7XqFgbAH,Better than Your Teacher: LLM Agents that learn from Privileged AI Feedback,3,"LLM agent framework (LEAP) evaluated on interactive coding tasks (Intercode Bash), improving code execution reliability.",AGENTS;TOOL_USE;RELIABILITY
batch_00323,sfQ6XpApfS,PiCO: Peer Review in LLMs based on Consistency Optimization,3,Unsupervised peer review for LLMs based on consistency; relates to consensus/abstention for reliability.,RELIABILITY;CONSENSUS
batch_00321,sLKDbuyq99,Flow: Modularized Agentic Workflow Automation,3,LLM-based multi-agent framework for automated task execution with dynamic workflow refinement.,AGENTS;WORKFLOW_STATS
batch_00318,rx0TCew0Lj,Beyond the convexity assumption: Realistic tabular data generation under quantifier-free real linear constraints,3,"Neuro-symbolic method enforcing quantifier-free linear constraints on generated data, aligning with hybrid neuro-symbolic AI themes.",OTHER
batch_00317,rpouyo09V0,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,3,"Benchmarks multi-turn code generation with execution/compilation feedback, relevant to LLM reliability for code correctness.",RELIABILITY;OTHER
batch_00316,rlgplAuN2p,OCEAN: Offline Chain-of-thought Evaluation and Alignment in Large Language Models,3,Offline KG-aligned CoT reasoning via MDP/RL; connects structured reasoning to LLM reliability.,RELIABILITY;OTHER
batch_00311,r1KcapkzCt,Monte Carlo Planning with Large Language Model for Text-Based Game Agents,3,LLM agent for text-based games using Monte Carlo planning; combines reasoning with search for decision-making.,AGENTS;PROGRAM_REASONING;OTHER
batch_00310,qn9tBYQHGi,Do LLM Agents Have Regret? A Case Study in Online Learning and Games,3,"Studies LLM agent decision-making in repeated games, quantifying performance via regret, relevant to agent reliability.",AGENTS;RELIABILITY;WORKFLOW_STATS
batch_00307,q5EZ7gKcnW,Iterative Label Refinement Matters More than Preference Optimization under Weak Supervision,3,"Proposes iterative label refinement for unreliable human feedback on coding tasks, addressing reliability in LM workflows.",RELIABILITY;WORKFLOW_STATS
batch_00306,pymXpl4qvi,Understanding and Mitigating Bottlenecks of State Space Models through the Lens of Recency and Over-smoothing,3,Analyzes SSM bottlenecks for long-context modeling; relevant to reliability of LLM workflows for long code reasoning tasks.,WORKFLOW_STATS;OTHER
batch_00304,pUbbLHjCPM,Think Thrice Before You Act: Progressive Thought Refinement in Large Language Models,3,"Progressive refinement method for LLM reasoning, improves reliability on diverse tasks.",RELIABILITY;OTHER
batch_00303,pHe4P1IVnb,Bayesian WeakS-to-Strong from Text Classification to Generation,3,"Extends Weak-to-Strong to generation with Bayesian ensembling for reliability, applicable to code generation.",RELIABILITY;CONSENSUS
batch_00302,p74CpDzw1Y,Varying Shades of Wrong: Aligning LLMs with Wrong Answers Only,3,"Aligns LLMs using wrong-over-wrong preferences to improve calibration and correctness, a reliability mechanism.",RELIABILITY
batch_00301,owP2mymrTD,Facilitating Multi-turn Function Calling for LLMs via Compositional Instruction Tuning,3,Method for multi-turn LLM function calling for compositional tasks; relates to tool-using agents for complex planning.,AGENTS;TOOL_USE
batch_00298,oWdzUpOlkX,AgentOccam: A Simple Yet Strong Baseline for LLM-Based Web Agents,3,LLM-based web agent with focus on grounding agent actions/observations for reliability.,AGENTS;RELIABILITY
batch_00297,oMFOKjwaRS,Knowledge Graph Finetuning Enhances Knowledge Manipulation in Large Language Models,3,"Uses knowledge graphs to generate explanations for code-like Q&A, enhancing LLM reasoning and reliability.",PROGRAM_REASONING;RELIABILITY;OTHER
batch_00293,ncCuiD3KJQ,Visual Agents as Fast and Slow Thinkers,3,"Proposes agent architecture with dual reasoning modes (System 1/2) for visual tasks, potentially transferable to code reasoning.",AGENTS;OTHER
batch_00291,n9PDaFNi8t,OS-ATLAS: Foundation Action Model for Generalist GUI Agents,3,"GUI agent framework involves executable language grounding, connecting to tool-using agents for software tasks.",AGENTS;TOOL_USE;OTHER
batch_00289,msEr27EejF,Correlated Proxies: A New Definition and Improved Mitigation for Reward Hacking,3,Addresses reward hacking in RLHF; relevant to reliability and alignment of LLM-generated outputs.,RELIABILITY;OTHER
batch_00289,moWiYJuSGF,Web Agents with World Models: Learning and Leveraging Environment Dynamics in Web Navigation,3,LLM web agent uses world model for planning; relates to tool-using agents and reasoning about action outcomes.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00287,mPdmDYIQ7f,AgentSquare: Automatic LLM Agent Search in Modular Design Space,3,"Automatic search for LLM agent architectures, including planning, reasoning, and tool use modules for diverse tasks.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00285,m2nmp8P5in,LLM-SR: Scientific Equation Discovery via Programming with Large Language Models,3,"LLM programming for symbolic equation discovery, combines code generation with domain reasoning",PROGRAM_REASONING;OTHER
batch_00283,ljAS7cPAU0,Symbolic regression via MDLformer-guided search: from minimizing prediction error to minimizing description length,3,Symbolic regression via MDL; neuro-symbolic search for formulas aligns with structured reasoning themes.,SYMBOLIC_EXEC;OTHER
batch_00281,lOi6FtIwR8,Model Editing as a Robust and Denoised variant of DPO: A Case Study on Toxicity,3,"Model editing for LLM safety (toxicity reduction) connects to reliability/hallucination reduction, but focus is not specifically on code.",RELIABILITY;OTHER
batch_00278,kxnoqaisCT,Navigating the Digital World as Humans Do: Universal Visual Grounding for GUI Agents,3,GUI agents using MLLMs for pixel-level reasoning; connects agents to software interfaces.,AGENTS;TOOL_USE
batch_00276,keu6sxrPWn,Adaptive Deployment of Untrusted LLMs Reduces Distributed Threats,3,"LLM safety for code generation via trusted model monitoring/verification, reducing subtle errors in untrusted LLMs.",RELIABILITY;VERIFICATION
batch_00274,kN25ggeq1J,Unveiling the Magic of Code Reasoning through Hypothesis Decomposition and Amendment,3,"Proposes RHDA pipeline for code reasoning with iterative hypothesis decomposition, tool use, and reflection to reduce hallucination.",TOOL_USE;PROGRAM_REASONING;RELIABILITY
batch_00272,jxo70B9fQo,Latent Space Chain-of-Embedding Enables Output-free LLM Self-Evaluation,3,Proposes output-free self-evaluation method for LLM reliability using internal hidden state dynamics.,RELIABILITY;OTHER
batch_00271,jkUp3lybXf,Preference Optimization for Reasoning with Pseudo Feedback,3,Uses test cases for pseudo feedback to improve LLM code generation reliability via preference optimization.,RELIABILITY
batch_00266,iv1TpRCJeK,Autonomous Evaluation of LLMs for Truth Maintenance and Reasoning Tasks,3,Autoformalization benchmark for LLM reasoning with clear correctness criteria; relates to structured reasoning & verification.,FORMAL_METHODS;OTHER
batch_00265,il5yUQsrjC,AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents,3,AndroidWorld benchmark for autonomous agents controlling computers; tests LLM agents on programmatic mobile app tasks.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00260,i3e92uSZCp,Language Guided Skill Discovery,3,"Uses LLMs to guide skill discovery for code-like tasks (robot control), aligning with LLM-based reasoning for structured behavior.",AGENTS;PROGRAM_REASONING
batch_00258,hmDt068MoZ,Can Knowledge Editing Really Correct Hallucinations?,3,"Benchmarks knowledge editing for correcting LLM hallucinations, a core reliability mechanism.",RELIABILITY
batch_00256,hPpyUv1XyQ,Uncertainty-Aware Decoding with Minimum Bayes Risk,3,"Presents MBR decoding for uncertainty-aware generation, applicable to LLM reliability/hallucination reduction.",RELIABILITY;CONSENSUS
batch_00254,h0vC0fm1q7,Sensitivity Verification for Additive Decision Tree Ensembles,3,"Formal verification framework for tree ensembles using SAT/pseudo-Boolean constraints, relates to symbolic reasoning for ML models.",FORMAL_METHODS;VERIFICATION
batch_00251,gc8QAQfXv6,Unlocking the Power of Function Vectors for Characterizing and Mitigating Catastrophic Forgetting in Continual Instruction Tuning,3,"Analyzes LLM forgetting via function vectors; proposes mitigation for instruction tuning, relevant to reliability of LLM workflows.",RELIABILITY;WORKFLOW_STATS
batch_00249,gGWYecsK1U,Integrative Decoding: Improving Factuality via Implicit Self-consistency,3,"Proposes self-consistency decoding method to improve factuality, relevant to reliability/hallucination reduction themes.",RELIABILITY;CONSENSUS
batch_00248,fvkElsJOsN,Eliminating Position Bias of Language Models: A Mechanistic Approach,3,"Addresses LM reliability and bias, validates on math reasoning; connects to verifier-guided evaluation.",RELIABILITY;OTHER
batch_00247,frsg32u0rO,Block Verification Accelerates Speculative Decoding,3,Improves speculative decoding verification; relates to reliability and efficiency of LLM code generation workflows.,RELIABILITY;WORKFLOW_STATS
batch_00247,fp6t3F669F,BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,3,"Benchmarks LLM/VLM agentic reasoning in complex, dynamic environments, relevant to evaluating code agents.",AGENTS;PROGRAM_REASONING;OTHER
batch_00246,fjEZ2LPceZ,CS-Bench: A Comprehensive Benchmark for Large Language Models towards Computer Science Mastery,3,"Benchmark for LLMs on CS knowledge; includes code generation/reasoning evaluation, relevant for reliability assessment.",OTHER
batch_00243,fAAaT826Vv,BIRD: A Trustworthy Bayesian Inference Framework for Large Language Models,3,"Proposes Bayesian framework (BIRD) for trustworthy probability estimation in LLM reasoning/planning, improving reliability.",RELIABILITY;OTHER
batch_00242,eznTVIM3bs,The Rise and Down of Babel Tower: Investigating the Evolution Process of Multilingual Code Large Language Model,3,Studies multilingual code LLM knowledge evolution; relevant for understanding code reasoning capabilities.,PROGRAM_REASONING;OTHER
batch_00241,ei3qCntB66,BadRobot: Jailbreaking Embodied LLM Agents in the Physical World,3,Jailbreaking embodied LLM agents; connects agent safety risks to physical code execution.,AGENTS;RELIABILITY
batch_00237,e9yfCY7Q3U,Improved Techniques for Optimization-Based Jailbreaking on Large Language Models,3,Studies jailbreaking as a reliability/safety failure mode for LLMs; relates to adversarial robustness of code-generation systems.,RELIABILITY;OTHER
batch_00236,dw9VUsSHGB,RepoGraph: Enhancing AI Software Engineering with Repository-level Code Graph,3,"Enhances LLM-based software engineering with repository-level code graphs for context, improving performance on SWE-bench.",AGENTS;PROGRAM_REASONING
batch_00233,dRz3cizftU,Tool-Planner: Task Planning with Clusters across Multiple Tools,3,"Presents an LLM agent framework (Tool-Planner) for task planning with toolkits, directly addressing tool-using agents for code/tasks.",AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00232,dCPF1wlqj8,CodePlan: Unlocking Reasoning Potential in Large Language Models by Scaling Code-form Planning,3,"Uses code-form plans for structured reasoning in LLMs, aligning with structured intermediate representations for multi-step tasks.",PROGRAM_REASONING;OTHER
batch_00229,chfJJYC3iL,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,3,"Benchmark for holistic code LLM evaluation, including self-repair and test output prediction, relevant to reliability testing.",RELIABILITY;OTHER
batch_00228,cfGpIcOIa5,GeoILP: A Synthetic Dataset to Guide Large-Scale Rule Induction,3,"Neuro-symbolic dataset for rule induction from geometry problems, aligning with hybrid reasoning interests.",OTHER
batch_00222,bhOysNJvWm,Diffusion Transformers for Tabular Data Time Series Generation,3,"LLM agents for automated research & peer review, simulating full scientific workflow with feedback.",AGENTS;WORKFLOW_STATS;OTHER
batch_00217,apErWGzCAA,Intelligent Go-Explore: Standing on the Shoulders of Giant Foundation Models,3,"LLM agents for exploration; uses foundation model reasoning for state selection, transferable to code reasoning.",AGENTS;TOOL_USE;OTHER
batch_00216,ac93gRzxxV,IterGen: Iterative Semantic-aware Structured LLM Generation with Backtracking,3,"Iterative grammar-guided LLM generation with backtracking for structured outputs like code, improving reliability.",RELIABILITY;OTHER
batch_00215,aWLQTbfFgV,Training Neural Networks as Recognizers of Formal Languages,3,"Connects neural networks (transformers) to formal language recognition, relevant to formal methods + LLMs theme.",FORMAL_METHODS;OTHER
batch_00211,Zes7Wyif8G,KLay: Accelerating Arithmetic Circuits for Neurosymbolic AI,3,Neurosymbolic AI with arithmetic circuits for enforcing symbolic constraints on neural networks.,NEUROSYMBOLIC_AI;FORMAL_METHODS
batch_00210,ZV7CLf0RHK,Fine-tuning with Reserved Majority for Noise Reduction,3,Presents a fine-tuning method (NoRM) that reduces noise/hallucination and improves code generation performance.,RELIABILITY
batch_00209,ZGqd0cbBvm,InsightBench: Evaluating Business Analytics Agents Through Multi-Step Insight Generation,3,Evaluates LLM agents for end-to-end data analytics involving code generation and insight summarization.,AGENTS;PROGRAM_REASONING;OTHER
batch_00208,Z0eiiV3Yyh,FlexCAD: Unified and Versatile Controllable CAD Generation with Fine-tuned Large Language Models,3,"Fine-tunes LLMs for structured code generation (CAD) via hierarchical text representation, aligning with structured reasoning for code.",PROGRAM_REASONING;OTHER
batch_00207,Yqk7EyT52H,MarS: a Financial Market Simulation Engine Powered by Generative Foundation Model,3,"Benchmarks LLM code generation with complex instructions and tool use (139 libraries), evaluating reliability.",TOOL_USE;RELIABILITY
batch_00206,YauQYh2k1g,Dissecting Adversarial Robustness of Multimodal LM Agents,3,"Evaluates robustness of LM agents in a structured environment, relevant to reliability of code-generating agents.",AGENTS;RELIABILITY
batch_00204,Y1r9yCMzeA,GraphArena: Evaluating and Exploring Large Language Models on Graph Computation,3,"Evaluates LLMs on graph algorithms, explores reliability methods like chain-of-thought and code writing for correctness.",RELIABILITY;PROGRAM_REASONING
batch_00200,XKv29sMyjF,Query-based Knowledge Transfer for Heterogeneous Learning Environments,3,"Proposes query-based knowledge transfer for code-like tasks, relevant for reliability in LLM workflows for heterogeneous data.",WORKFLOW_STATS;OTHER
batch_00197,WjKea8bGFF,Building Math Agents with Multi-Turn Iterative Preference Learning,3,LLM math agent using code interpreter tool; multi-turn reasoning for correctness.,AGENTS;TOOL_USE;PROGRAM_REASONING
batch_00195,WWXjMYZxfH,MA-RLHF: Reinforcement Learning from Human Feedback with Macro Actions,3,"MA-RLHF improves RLHF for program synthesis; addresses credit assignment, relevant to reliability of LLM code generation.",RELIABILITY
batch_00195,WQvkqarwXi,Towards Synergistic Path-based Explanations for Knowledge Graph Completion: Exploration and Evaluation,3,"Presents a method (KGExplainer) for finding synergistic reasoning paths, relevant to structured reasoning for code correctness.",OTHER
batch_00194,WJaUkwci9o,Self-Improvement in Language Models: The Sharpening Mechanism,3,"Theoretical analysis of LLM self-improvement as verifier, relevant to reliability and correctness workflows.",RELIABILITY;OTHER
batch_00193,W5yIKliMot,,3,"Analyzes LLM reasoning failures via attention intervention; improves CoT correctness on AQuA (math reasoning), relevant to reliability.",RELIABILITY
batch_00192,VuTrZzrPfn,OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning,3,"LLM agent for GUI control with state-aware reasoning and re-planning, transferable to code agent workflows.",AGENTS;TOOL_USE
batch_00191,VoayJihXra,NeSyC: A Neuro-symbolic Continual Learner For Complex Embodied Tasks In Open Domains,3,"Neuro-symbolic framework using LLMs for task planning; validates actions symbolically, relevant to structured reasoning for code.",NEURO_SYMBOLIC;AGENTS;PROGRAM_REASONING
batch_00189,VIUisLx8lQ,TypedThinker: Diversify Large Language Model Reasoning with Typed Thinking,3,"Introduces structured reasoning typology (inductive, abductive) to improve LLM problem-solving for logical/mathematical tasks.",OTHER
